Motorista,Ordem,Codigo,Nome Fantasia,Latitude,Longitude
AILTON                                                                                              ,1,10752,POPULAR ATACADISTA                                                                                  ,-3.8361488,-38.5733762
AILTON                                                                                              ,2,9635,MATEUS - MARACANAU                                                                                  ,-3.8782661,-38.59633799
AILTON                                                                                              ,3,10758,MATEUS - MARANGUAPE                                                                                 ,-3.89666198,-38.67373332
EDSON                                                                                               ,1,1454,MERCANTIL EMANUEL                                                                                   ,-3.73818927,-38.61937847
EDSON                                                                                               ,2,11268,PASSAKI - CAUCAIA                                                                                   ,-3.73335329,-38.6569974
EDSON                                                                                               ,3,4381,COMPREMAX - OFERTAO MAX                                                                             ,-3.72905976,-38.65588134
EDSON                                                                                               ,4,11163,COMPREMAX - ICARAI                                                                                  ,-3.67322246,-38.67026304
FELIX                                                                                               ,1,11622,MATEUS - CAUCAIA                                                                                    ,-3.76132708,-38.61643438
LUAN                                                                                                ,1,11733,MATEUS - JOSE WALTER                                                                                ,-3.8207176,-38.55885136
ROBERTO                                                                                             ,1,455,SUPERMERCADO BISTECAO                                                                               ,-3.762106,-38.5819394
ROBERTO                                                                                             ,2,9326,BARATAO - PAJUCARA                                                                                  ,-3.86328938,-38.581686
ROBERTO                                                                                             ,3,447,SUPERMERCADO E PANIFICADORA PANNEVERA                                                               ,-3.88608835,-38.6253182
ROBERTO                                                                                             ,4,1817,PANIFICADORA O MAX                                                                                  ,-3.90545487,-38.68615841
ROBERTO                                                                                             ,5,1812,PANIFICADORA NOSSO PAO                                                                              ,-3.8943696,-38.6881168
ROBERTO                                                                                             ,6,1541,SUPER NOVO EXPRESS                                                                                  ,-3.89440312,-38.68720997
ROBERTO                                                                                             ,7,9333,PADARIA SAO MIGUEL                                                                                  ,-3.8853172,-38.6816109
ROBERTO                                                                                             ,8,4965,NOVA VENEZA                                                                                         ,-3.8811139,-38.6756829
ROBERTO                                                                                             ,9,1142,SUPERMERCADO CRISOSTOMO - LJ 01                                                                     ,-3.846401,-38.656205
ROBERTO                                                                                             ,10,4119,MERC SAO JOAO                                                                                       ,-3.81089439,-38.62849329
WEMINSON                                                                                            ,1,10756,MATEUS - HENRIQUE JORGE                                                                             ,-3.75714249,-38.59061584
